                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0467,                 4.2629,                 4.1265,                0.00042,                0.05573,                0.00044,                0.00013,                 4.1384,                 4.9133,                 4.2223,             0.00040984,             0.00040984,             0.00040984
                      2,                 3.0419,                 3.0348,                 3.1027,                0.00244,                0.08222,                0.00254,                0.00075,                  3.806,                 4.7519,                  4.078,             0.00081832,             0.00081832,             0.00081832
                      3,                 2.5389,                 2.3286,                 2.3157,                0.72087,                0.20175,                0.22486,                0.08692,                 2.2321,                 2.7417,                 2.2448,              0.0012186,              0.0012186,              0.0012186
                      4,                 2.2167,                 1.9415,                 1.9544,                0.74859,                0.19411,                0.23241,                0.09748,                 2.0762,                 2.3446,                 2.0646,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.0062,                 1.6666,                  1.741,                0.46574,                0.36833,                0.36821,                0.15867,                 1.9277,                 1.9754,                 1.9542,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.8704,                 1.5519,                 1.6324,                0.63561,                0.48149,                0.46733,                0.24477,                 1.7789,                 2.1636,                 1.8045,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.7971,                 1.4624,                  1.573,                0.54441,                0.46454,                0.48215,                0.25528,                 1.6616,                 1.6547,                 1.7248,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.7126,                 1.3914,                 1.5164,                0.57593,                0.50425,                0.54146,                0.30463,                 1.6005,                 1.5722,                 1.6916,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.6506,                 1.3111,                  1.471,                0.56818,                0.59493,                0.60396,                0.33015,                  1.586,                 1.6381,                 1.6438,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.5966,                 1.2417,                  1.431,                0.57061,                0.62886,                0.61406,                0.36034,                 1.4716,                 1.6294,                   1.57,               0.001151,               0.001151,               0.001151
                     11,                  1.548,                 1.2201,                 1.4079,                0.72154,                0.56012,                0.62089,                0.37141,                 1.4394,                 1.3328,                 1.5209,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.5169,                 1.1537,                 1.3712,                0.67715,                0.56359,                0.65443,                0.39841,                 1.3995,                 1.5837,                 1.5057,              0.0011263,              0.0011263,              0.0011263
